 45 39 
65 66 49 
846 54 41 
521 59 33 
10547 65 41 
911 71 53 
911 82 56 
260 73 0 
195 63 0 
326 54 0 
326 73 0 
846 77 0 
5013 62 0 
260 42 51 
846 57 57 
326 71 57 
2344 45 36 
326 75 0 
391 59 0 
130 42 0 
456 71 0 
521 47 0 
326 43 70 
326 71 60 
911 51 0 
260 61 45 
130 61 0 
521 64 51 
65 33 0 
326 62 35 
846 71 0 
521 56 62 
65 62 0 
651 65 0 
391 64 0 
911 56 60 
2734 56 0 
846 57 70 
391 43 66 
1823 43 0 
846 55 0 
846 62 68 
391 53 0 
1823 66 73 
2083 66 0 
781 62 0 
1042 67 64 
65 60 56 
1953 60 0 
3841 29 87 
716 58 81 
1432 58 0 
2279 67 90 
1237 62 0 
4818 70 85 
651 70 0 
0 67 0 
0 72 70 
1042 72 0 
65 72 79 
195 43 76 
911 70 0 
130 74 82 
521 74 0 
65 75 0 
130 72 61 
456 51 59 
0 72 0 
65 51 0 
521 75 80 
260 48 0 
1172 70 70 
1302 75 0 
846 70 76 
391 67 61 
456 34 0 
65 79 78 
716 67 0 
2604 73 0 
326 74 74 
391 38 0 
651 70 71 
0 50 53 
1237 70 0 
65 74 0 
977 50 0 
456 75 80 
2148 48 0 
1172 75 0 
2930 77 88 
65 57 58 
2799 57 0 
1172 79 0 
521 77 0 
130 71 58 
2344 71 0 
1172 69 58 
1823 69 0 
456 45 62 
260 66 69 
1823 47 38 
0 66 0 
0 71 57 
130 50 47 
846 66 54 
1888 59 0 
65 42 0 
456 64 0 
651 71 0 
260 63 66 
781 63 0 
260 57 52 
0 63 51 
195 63 0 
1237 56 0 
130 55 62 
1562 55 0 
716 62 57 
195 71 67 
781 67 44 
716 71 0 
977 67 0 
195 62 0 
1302 72 64 
1693 72 0 
2344 74 50 
1758 74 0 
716 70 59 
326 58 38 
586 67 57 
260 72 43 
781 72 48 
521 67 0 
456 70 0 
326 70 0 
456 70 0 
326 72 63 
586 46 49 
326 53 44 
651 58 0 
977 53 37 
130 53 0 
846 63 59 
260 75 0 
1823 75 56 
195 76 49 
65 51 20 
1367 45 42 
326 40 34 
586 45 0 
1302 57 0 
586 60 0 
4232 53 35 
1237 77 0 
195 75 32 
2995 51 0 
716 53 0 
326 48 54 
716 48 0 
4753 78 68 
977 69 0 
5339 75 67 
716 46 0 
0 79 0 
2018 76 66 
651 61 41 
326 73 66 
7812 43 41 
3255 73 0 
65 67 0 
2799 76 61 
911 76 0 
521 64 75 
1823 49 49 
1237 76 0 
1367 73 71 
2865 64 0 
521 75 54 
0 49 0 
521 69 70 
326 69 0 
65 52 52 
130 52 0 
586 76 0 
65 75 0 
391 73 70 
586 55 63 
1693 55 0 
326 73 0 
586 73 0 
2018 79 80 
456 59 62 
326 67 68 
6510 79 0 
521 73 0 
391 79 76 
65 67 0 
716 52 56 
326 76 52 
260 76 0 
130 55 0 
911 52 0 
391 81 75 
326 78 67 
65 45 53 
6506 79 0 
1758 81 0 
1302 73 67 
391 33 0 
195 73 0 
716 79 71 
651 79 0 
65 41 48 
